market,month,high,low
Downtown,1/1/10,13580000,270000
Downtown,2/1/10,13339075,325000
Downtown,3/1/10,14825720,355000
Downtown,4/1/10,14650000,255000
Downtown,5/1/10,23689586,149999
Downtown,6/1/10,7100000,245000
Downtown,7/1/10,24065000,198000
Downtown,8/1/10,13237250,182520
Downtown,9/1/10,7700000,205000
Downtown,10/1/10,14250000,195000
Downtown,11/1/10,31500000,171000
Downtown,12/1/10,14000000,280000
Downtown,1/1/11,9469725,255000
Downtown,2/1/11,22010531,173500
Downtown,3/1/11,18995000,190000
Downtown,4/1/11,14000000,227500
Downtown,5/1/11,16902950,262000
Downtown,6/1/11,8655125,85000
Downtown,7/1/11,14600000,285000
Downtown,8/1/11,12500000,216000
Downtown,9/1/11,6750000,275000
Downtown,10/1/11,16811193,262500
Downtown,11/1/11,15500000,185000
Downtown,12/1/11,17055687,190000
Downtown,1/1/12,10354275,205000
Downtown,2/1/12,15000000,275000
Downtown,3/1/12,10000000,255000
Downtown,4/1/12,19397662,257000
Downtown,5/1/12,12500000,205000
Downtown,6/1/12,15630137,259000
Downtown,7/1/12,13746375,265000
Downtown,8/1/12,14300000,225000
Downtown,9/1/12,17500000,257500
Downtown,10/1/12,10500000,260000
Downtown,11/1/12,11000000,226000
Downtown,12/1/12,17564812,235000
Downtown,1/1/13,7250000,227000
Downtown,2/1/13,13232158,223993
Downtown,3/1/13,12375000,143000
Downtown,4/1/13,15500000,275625
Downtown,5/1/13,29783812,255000
Downtown,6/1/13,23419750,210000
Downtown,7/1/13,15175000,151944
Downtown,8/1/13,42000000,305000
Downtown,9/1/13,13701318,268000
Downtown,10/1/13,15477400,245600
Downtown,11/1/13,23500000,261000
Downtown,12/1/13,14255500,285000
Downtown,1/1/14,50912500,262500
Downtown,2/1/14,10500000,200000
Downtown,3/1/14,19950000,325000
Downtown,4/1/14,10000000,319000
Downtown,5/1/14,14800000,250000
Downtown,6/1/14,12800000,340000
Downtown,7/1/14,10750000,269000
Downtown,8/1/14,20000000,262000
Downtown,9/1/14,13500000,363000
Downtown,10/1/14,20161350,290000
Downtown,11/1/14,40730000,165000
Downtown,12/1/14,21000000,259000
Downtown,1/1/15,29500000,215000
Downtown,2/1/15,14850000,349000
Downtown,3/1/15,25000000,240000
Downtown,4/1/15,13916931,298000
Downtown,5/1/15,34000000,275000
Downtown,6/1/15,18250000,300000
Downtown,7/1/15,15500000,212940
Downtown,8/1/15,18100000,245000
Downtown,9/1/15,20000000,290000
Downtown,10/1/15,20365000,334000
Downtown,11/1/15,20137750,280000
Downtown,12/1/15,26030475,245000
Midtown,1/1/10,5941967,252000
Midtown,2/1/10,8950000,207000
Midtown,3/1/10,28597895,212000
Midtown,4/1/10,6100000,230000
Midtown,5/1/10,5300000,265000
Midtown,6/1/10,18500000,200000
Midtown,7/1/10,23469632,127500
Midtown,8/1/10,4770000,240000
Midtown,9/1/10,16500000,230000
Midtown,10/1/10,18500000,200000
Midtown,11/1/10,15000000,126000
Midtown,12/1/10,12200000,83047
Midtown,1/1/11,4550000,225000
Midtown,2/1/11,14650000,178000
Midtown,3/1/11,6552911,143735
Midtown,4/1/11,6000000,240000
Midtown,5/1/11,14450000,225000
Midtown,6/1/11,10100000,220000
Midtown,7/1/11,10200000,170000
Midtown,8/1/11,30000000,175000
Midtown,9/1/11,5750000,180000
Midtown,10/1/11,3500000,200000
Midtown,11/1/11,5675000,220000
Midtown,12/1/11,13050000,125000
Midtown,1/1/12,8310624,245000
Midtown,2/1/12,25919283,180000
Midtown,3/1/12,5900000,190000
Midtown,4/1/12,7750000,155000
Midtown,5/1/12,9000000,150000
Midtown,6/1/12,70000000,193500
Midtown,7/1/12,10000000,255000
Midtown,8/1/12,18000000,199000
Midtown,9/1/12,15500000,225000
Midtown,10/1/12,13000000,170000
Midtown,11/1/12,7750000,205000
Midtown,12/1/12,13575000,205000
Midtown,1/1/13,6950000,220000
Midtown,2/1/13,6900000,210000
Midtown,3/1/13,16000000,225000
Midtown,4/1/13,6516800,240000
Midtown,5/1/13,11250000,210000
Midtown,6/1/13,34350000,200000
Midtown,7/1/13,7076837,236250
Midtown,8/1/13,14300000,209000
Midtown,9/1/13,16500000,230000
Midtown,10/1/13,7500000,160000
Midtown,11/1/13,9500000,220000
Midtown,12/1/13,6550000,254000
Midtown,1/1/14,4900000,225000
Midtown,2/1/14,13000000,241000
Midtown,3/1/14,10793450,125000
Midtown,4/1/14,32000000,250000
Midtown,5/1/14,30551000,270000
Midtown,6/1/14,11900000,237500
Midtown,7/1/14,5025000,244900
Midtown,8/1/14,6900000,246500
Midtown,9/1/14,17250000,236000
Midtown,10/1/14,34000000,135000
Midtown,11/1/14,6292785,140000
Midtown,12/1/14,12524475,170000
Midtown,1/1/15,7350000,250000
Midtown,2/1/15,17000000,255000
Midtown,3/1/15,20110437,254000
Midtown,4/1/15,30683372,262000
Midtown,5/1/15,20622312,250000
Midtown,6/1/15,19500000,255000
Midtown,7/1/15,20063025,270000
Midtown,8/1/15,10350000,265000
Midtown,9/1/15,24594237,230000
Midtown,10/1/15,9930540,210000
Midtown,11/1/15,34369437,290000
Midtown,12/1/15,18116903,200000
Upper West Side,1/1/10,16000000,225000
Upper West Side,2/1/10,23980000,216500
Upper West Side,3/1/10,33177083,210000
Upper West Side,4/1/10,15100000,240000
Upper West Side,5/1/10,12907846,285000
Upper West Side,6/1/10,17819375,180000
Upper West Side,7/1/10,17750000,123717
Upper West Side,8/1/10,15650000,202000
Upper West Side,9/1/10,19000000,231000
Upper West Side,10/1/10,15500000,215000
Upper West Side,11/1/10,15000000,230000
Upper West Side,12/1/10,30000000,260000
Upper West Side,1/1/11,14500000,115000
Upper West Side,2/1/11,7550000,154000
