market,month,high,low,asking,sales
Prospect Park,1/1/10,1566000,253500,449000,407500
Prospect Park,2/1/10,2545625,91000,449000,406250
Prospect Park,3/1/10,3125000,189000,445000,405000
Prospect Park,4/1/10,2851000,176575,449000,455615
Prospect Park,5/1/10,1175000,134000,435000,415433
Prospect Park,6/1/10,2733000,160000,425000,375000
Prospect Park,7/1/10,1800000,116000,425000,446160
Prospect Park,8/1/10,2837550,235141,419000,390000
Prospect Park,9/1/10,1973000,204500,419000,402000
Prospect Park,10/1/10,2750000,135000,422000,355000
Prospect Park,11/1/10,3700000,260000,419000,377500
Prospect Park,12/1/10,1612500,223000,427000,400000
Prospect Park,1/1/11,2650000,157290,449000,355000
Prospect Park,2/1/11,2100000,155000,449000,469100
Prospect Park,3/1/11,1850000,184000,443000,420000
Prospect Park,4/1/11,3300000,223000,429000,412500
Prospect Park,5/1/11,1850000,220000,425000,540000
Prospect Park,6/1/11,3600000,156000,419000,425000
Prospect Park,7/1/11,3220000,248430,410000,440000
Prospect Park,8/1/11,2750000,190000,425000,405000
Prospect Park,9/1/11,1600000,47500,429000,359875
Prospect Park,10/1/11,2100000,40000,439000,425000
Prospect Park,11/1/11,2150000,155000,425000,390000
Prospect Park,12/1/11,2670000,85000,419000,430000
Prospect Park,1/1/12,1491000,240000,429000,420000
Prospect Park,2/1/12,2450000,240000,425000,382500
Prospect Park,3/1/12,2621993,168000,419000,367000
Prospect Park,4/1/12,5100000,214208,407000,423852
Prospect Park,5/1/12,2293000,184983,400000,380000
Prospect Park,6/1/12,5203550,150000,402500,396000
Prospect Park,7/1/12,2418000,330000,420000,532035
Prospect Park,8/1/12,2750000,219000,412500,399500
Prospect Park,9/1/12,2647450,275000,425000,440000
Prospect Park,10/1/12,3700000,245039,425000,458000
Prospect Park,11/1/12,1425000,135000,422000,450000
Prospect Park,12/1/12,4695000,110000,422000,423500
Prospect Park,1/1/13,3350000,180000,407000,416500
Prospect Park,2/1/13,1555555,140000,412000,416750
Prospect Park,3/1/13,1742000,223080,425000,417000
Prospect Park,4/1/13,1875000,185000,439000,418500
Prospect Park,5/1/13,2339783,118063,447000,404500
Prospect Park,6/1/13,2950000,97280,439000,437000
Prospect Park,7/1/13,4750000,192000,449000,395000
Prospect Park,8/1/13,2179000,127500,449000,474450
Prospect Park,9/1/13,3297000,240000,449000,475000
Prospect Park,10/1/13,2575000,110000,450000,459500
Prospect Park,11/1/13,2053000,180000,450000,500000
Prospect Park,12/1/13,3275000,215000,450000,487500
Prospect Park,1/1/14,2106759,85850,452500,420000
Prospect Park,2/1/14,2172000,230000,472000,486200
Prospect Park,3/1/14,3435000,240000,485000,445072
Prospect Park,4/1/14,2750000,120000,485000,527500
Prospect Park,5/1/14,1850000,105000,485000,460833
Prospect Park,6/1/14,2530000,130662,499000,490000
Prospect Park,7/1/14,2849000,131709,499000,525000
Prospect Park,8/1/14,2992500,195000,499000,549000
Prospect Park,9/1/14,4875000,189000,519000,475000
Prospect Park,10/1/14,2125000,132000,532000,507500
Prospect Park,11/1/14,10775000,160500,544500,530000
Prospect Park,12/1/14,2495000,260000,540000,547500
Prospect Park,1/1/15,2500000,147521,531000,449000
Prospect Park,2/1/15,3850000,190000,549500,449000
Prospect Park,3/1/15,3945000,290000,539000,465000
Prospect Park,4/1/15,3750000,160292,539000,465000
Prospect Park,5/1/15,2950000,280000,585000,540000
Prospect Park,6/1/15,12400000,130000,595000,582500
Prospect Park,7/1/15,4425000,309000,620000,583750
Prospect Park,8/1/15,1940000,187500,627000,585000
Prospect Park,9/1/15,3600000,305000,623000,649000
Prospect Park,10/1/15,3954000,195000,596000,607500
Prospect Park,11/1/15,1800000,324000,599000,570000
Prospect Park,12/1/15,6000000,325000,599000,630000
North Brooklyn,1/1/10,977520,293046,499000,
North Brooklyn,2/1/10,1527375,287500,505000,539672
North Brooklyn,3/1/10,1307500,220000,499000,
North Brooklyn,4/1/10,785352,329550,494495,473430
North Brooklyn,5/1/10,905000,315000,490000,
North Brooklyn,6/1/10,1212500,309270,485000,443045
North Brooklyn,7/1/10,1280000,140000,490000,467500
North Brooklyn,8/1/10,1425000,218000,482000,
North Brooklyn,9/1/10,1525000,340000,483500,
North Brooklyn,10/1/10,935000,338012,483500,493695
North Brooklyn,11/1/10,1069162,294060,475000,544950
North Brooklyn,12/1/10,1578287,222000,472500,525103
North Brooklyn,1/1/11,1527375,295000,481000,481026
North Brooklyn,2/1/11,1884000,335634,485000,485000
North Brooklyn,3/1/11,1649000,329550,495000,426891
North Brooklyn,4/1/11,1250000,304200,499000,495000
North Brooklyn,5/1/11,1800000,190000,499000,499395
North Brooklyn,6/1/11,1350000,338500,499000,479000
North Brooklyn,7/1/11,1650000,314340,499000,460543.5
North Brooklyn,8/1/11,2850000,324480,499000,492500
North Brooklyn,9/1/11,1678076,295000,503500,466440
North Brooklyn,10/1/11,1450000,93288,515000,436686
North Brooklyn,11/1/11,1749000,296088,505000,
North Brooklyn,12/1/11,1600000,305000,505000,483678
North Brooklyn,1/1/12,1198500,303186,510000,492719.5
North Brooklyn,2/1/12,799325,299000,537000,540000
North Brooklyn,3/1/12,870000,315000,535000,443080
North Brooklyn,4/1/12,2652893,230000,535000,435115
North Brooklyn,5/1/12,2540533,287976,549000,527500
North Brooklyn,6/1/12,2036500,155000,549000,595000
North Brooklyn,7/1/12,1795000,294060,559000,582915
North Brooklyn,8/1/12,2291062,309270,549000,560000
North Brooklyn,9/1/12,2061956,318000,565000,524398
North Brooklyn,10/1/12,1475000,215000,578000,620000
North Brooklyn,11/1/12,1323725,149000,560000,
North Brooklyn,12/1/12,1600000,444000,560000,
North Brooklyn,1/1/13,2835826,205500,565000,
North Brooklyn,2/1/13,2025000,315000,565000,665000
North Brooklyn,3/1/13,2443800,354000,567500,
North Brooklyn,4/1/13,2316518,225000,583000,
North Brooklyn,5/1/13,3200000,350000,585000,560018.5
North Brooklyn,6/1/13,2500000,360000,599000,588838
North Brooklyn,7/1/13,3600000,140000,599000,585692
North Brooklyn,8/1/13,2000000,335000,615000,627929
North Brooklyn,9/1/13,1575000,230000,619000,662500
North Brooklyn,10/1/13,2260515,155000,684000,
North Brooklyn,11/1/13,2395000,400000,635000,721500
North Brooklyn,12/1/13,1960000,130000,637000,
North Brooklyn,1/1/14,1885000,180000,699000,706586.5
North Brooklyn,2/1/14,2100000,210000,715000,
North Brooklyn,3/1/14,2087412,210000,726000,619965.5
North Brooklyn,4/1/14,2765000,350000,749000,733140
North Brooklyn,5/1/14,2250000,259000,797000,700000
North Brooklyn,6/1/14,2400000,227000,799999,837000
North Brooklyn,7/1/14,1820000,540000,809000,740000
North Brooklyn,8/1/14,1750000,549000,842000,
North Brooklyn,9/1/14,2522397,233220,877000,795000
North Brooklyn,10/1/14,2600000,301000,885000,842000
North Brooklyn,11/1/14,2070000,341000,889500,
North Brooklyn,12/1/14,3128250,390000,875000,
North Brooklyn,1/1/15,3200000,200000,870000,
North Brooklyn,2/1/15,2495000,270000,869500,
North Brooklyn,3/1/15,1650000,550000,882500,
North Brooklyn,4/1/15,2645000,280000,870000,
North Brooklyn,5/1/15,3200000,380000,859000,
North Brooklyn,6/1/15,2362000,585000,865000,
North Brooklyn,7/1/15,2250000,310000,865000,800000
North Brooklyn,8/1/15,2200000,449000,875000,875000
North Brooklyn,9/1/15,1560000,615000,870000,
North Brooklyn,10/1/15,3812500,265000,860000,908500
North Brooklyn,11/1/15,2100000,320000,860000,
North Brooklyn,12/1/15,1470000,370000,867400,799000
Northwest Brooklyn,1/1/10,2995000,173250,478500,521000
