id,end_station,dest_y,dest_x,count
1,1 Ave & E 16 St,40.73221853,-73.98165557,8
2,1 Ave & E 18 St,40.73381219,-73.98054421,3
3,1 Ave & E 30 St,40.74144387,-73.97536082,82
4,1 Ave & E 44 St,40.75001986,-73.96905301,27
5,1 Ave & E 62 St,40.7612274,-73.96094022,111
6,1 Ave & E 68 St,40.76500525,-73.95818491,72
7,1 Ave & E 78 St,40.77140426,-73.9535166,77
8,1 Ave & E 94 St,40.7817212,-73.94594,24
9,1 Pl & Clinton St,40.6809591,-73.99905709,3
10,10 St & 5 Ave,40.6686273,-73.98700053,13
11,10 St & 7 Ave,40.6662078,-73.98199886,21
12,11 Ave & W 27 St,40.751396,-74.005226,129
13,11 Ave & W 41 St,40.76030096,-73.99884222,168
14,11 Ave & W 59 St,40.771522,-73.990541,52
15,12 Ave & W 40 St,40.76087502,-74.00277668,92
16,12 St & 4 Ave,40.668603,-73.9904394,7
17,14 St & 5 Ave,40.666287,-73.98895053,17
18,14 St & 7 Ave,40.663779,-73.98396846,14
19,2 Ave  & E 104 St,40.7892105,-73.94370784,19
20,2 Ave & 9 St,40.6724811,-73.99331394,8
21,2 Ave & E 31 St,40.74290902,-73.97706058,117
22,2 Ave & E 99 St,40.7862586,-73.94552579,5
23,21 St & 41 Ave,40.75383343,-73.94267678,13
24,21 St & 43 Ave,40.75052534,-73.94594845,8
25,3 Ave & 14 St,40.6685455,-73.99333264,11
26,3 Ave & E 100 St,40.7877214,-73.94728331,2
27,3 Ave & E 62 St,40.76312584,-73.96526895,28
28,3 Ave & E 71 St,40.76873687,-73.96119945,22
29,3 Ave & E 72 St,40.7699426,-73.96060712,0
30,3 Ave & Schermerhorn St,40.68683208,-73.9796772,11
31,3 St & 3 Ave,40.6750705,-73.98775226,15
32,3 St & 7 Ave,40.6703837,-73.97839676,15
33,3 St & Hoyt St,40.6777287,-73.99364123,12
34,3 St & Prospect Park West,40.668132,-73.97363831,5
35,31 St & Thomson Ave,40.74469738,-73.93540375,1
36,4 Ave & 9 St,40.6705135,-73.98876585,22
37,44 Dr & Jackson Ave,40.74718234,-73.9432635,19
38,45 Rd & 11 St,40.74708586,-73.94977234,33
39,46 Ave & 5 St,40.74731,-73.95451,13
40,47 Ave & 31 St,40.743,-73.93561,2
41,48 Ave & 5 St,40.74436329,-73.95587325,12
42,5 Ave & 3 St,40.6728155,-73.98352355,18
43,5 Ave & E 103 St,40.7922553,-73.95249933,17
44,5 Ave & E 29 St,40.7451677,-73.98683077,92
45,5 Ave & E 73 St,40.77282817,-73.96685276,31
46,5 Ave & E 78 St,40.77682863,-73.96388769,19
47,5 Ave & E 88 St,40.78307,-73.95939,23
48,5 Ave & E 93 St,40.7857851,-73.957481,8
49,5 St & 6 Ave,40.6704836,-73.98208968,4
50,6 Ave & 12 St,40.6663181,-73.9854617,3
51,6 Ave & 9 St,40.668127,-73.98377641,8
52,6 Ave & Broome St,40.724399,-74.004704,78
53,6 Ave & Canal St,40.72243797,-74.00566443,96
54,6 Ave & W 33 St,40.74901271,-73.98848395,161
55,6 St & 7 Ave,40.6686627,-73.97988067,7
56,7 Ave & Park Pl,40.6776147,-73.97324283,36
57,7 St & 3 Ave,40.67260298,-73.98983002,6
58,7 St & 5 Ave,40.6704922,-73.98541675,5
59,78 St & 2 Ave,40.7727966,-73.95577801,28
60,8 Ave & W 16 St,40.740983,-74.001702,112
61,8 Ave & W 31 St,40.75058535,-73.99468482,257
62,8 Ave & W 33 St,40.751551,-73.993934,231
63,8 Ave & W 52 St,40.76370739,-73.9851615,118
64,8D OPS 01,40.68486875,-74.02544975,0
65,9 Ave & W 18 St,40.74317449,-74.00366443,348
66,9 Ave & W 22 St,40.7454973,-74.00197139,141
67,9 Ave & W 28 St,40.74937024,-73.99923384,103
68,9 Ave & W 45 St,40.76019252,-73.9912551,237
69,9 St & 44 Rd,40.74966,-73.9521,2
70,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,14
71,Albany Ave & Fulton St,40.6800105,-73.938475,6
72,Allen St & Hester St,40.71605866,-73.99190759,106
73,Allen St & Rivington St,40.72019576,-73.98997825,287
74,Allen St & Stanton St,40.722055,-73.989111,442
75,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,7
76,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,69
77,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,14
78,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,43
79,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,42
80,Atlantic Ave & Furman St,40.69165183,-73.9999786,51
81,Avenue D & E 12 St,40.72580614,-73.97422494,15
82,Avenue D & E 3 St,40.72082834,-73.97793172,42
83,Avenue D & E 8 St,40.72368361,-73.97574813,17
84,Baldwin at Montgomery,40.7236589,-74.0641943,0
85,Baltic St & 5 Ave,40.6795766,-73.97854971,31
86,Bank St & Hudson St,40.73652889,-74.00618026,123
87,Bank St & Washington St,40.7361967,-74.00859207,121
88,Banker St & Meserole Ave,40.72606,-73.95621,48
89,Barclay St & Church St,40.71291224,-74.01020234,118
90,Barrow St & Hudson St,40.73172428,-74.00674436,83
91,Bayard St & Baxter St,40.71602118,-73.99974372,77
92,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,133
93,Bedford Ave & S 9 St,40.70853074,-73.96408963,13
94,Bergen St & Flatbush Ave,40.68094472,-73.97567332,8
95,Bergen St & Smith St,40.6867443,-73.99063168,12
96,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,6
97,Berry St & N 8 St,40.7190095,-73.95852515,82
98,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,24
99,Bike in Movie Night | Prospect Park Bandshell,40.662987,-73.976918,0
100,Boerum St & Broadway,40.70538077,-73.94976519,14
101,Bond St & Bergen St,40.6849668,-73.98620772,13
102,Bond St & Fulton St,40.68962189,-73.98304269,20
103,Bond St & Schermerhorn St,40.68807003,-73.98410637,32
104,Broad St & Bridge St,40.70365182,-74.01167797,5
105,Broadway & Battery Pl,40.70463334,-74.01361706,61
106,Broadway & Berry St,40.71044554,-73.96525063,92
107,Broadway & E 14 St,40.73454567,-73.99074142,210
108,Broadway & E 22 St,40.7403432,-73.98955109,77
109,Broadway & Roebling St,40.70925562,-73.95982218,35
110,Broadway & W 24 St,40.7423543,-73.98915076,122
111,Broadway & W 29 St,40.7462009,-73.98855723,80
112,Broadway & W 32 St,40.74854862,-73.98808416,142
113,Broadway & W 36 St,40.75097711,-73.98765428,35
114,Broadway & W 37 St,40.75172632,-73.98753523,35
115,Broadway & W 39 St,40.75299641,-73.98721619,43
116,Broadway & W 41 St,40.75513557,-73.98658032,70
117,Broadway & W 49 St,40.76068327,-73.98452729,127
118,Broadway & W 51 St,40.76228826,-73.98336183,54
119,Broadway & W 53 St,40.76344058,-73.98268129,56
120,Broadway & W 55 St,40.7652654,-73.98192338,91
121,Broadway & W 58 St,40.76695317,-73.98169333,82
122,Broadway & W 60 St,40.76915505,-73.98191841,88
123,Broadway & Whipple St,40.7016657,-73.9437303,20
124,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,31
125,Bus Slip & State St,40.701907,-74.013942,38
126,Bushwick Ave & Powers St,40.71247661,-73.94100005,37
127,Butler St & Court St,40.6849894,-73.99440329,12
128,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,27
129,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,23
130,Cambridge Pl & Gates Ave,40.68488,-73.96304,13
131,Canal St & Rutgers St,40.71427487,-73.98990025,191
132,Carlton Ave & Flushing Ave,40.697787,-73.973736,8
133,Carlton Ave & Park Ave,40.69580705,-73.97355569,5
134,Carmine St & 6 Ave,40.73038599,-74.00214988,366
135,Carroll St & 5 Ave,40.6751622,-73.9814832,15
136,Carroll St & 6 Ave,40.6740886,-73.9787282,6
137,Carroll St & Bond St,40.6786115,-73.99037292,26
138,Carroll St & Columbia St,40.6830456,-74.00348559,11
139,Carroll St & Smith St,40.680611,-73.99475825,37
140,Cathedral Pkwy & Broadway,40.804213,-73.96699104,67
141,Catherine St & Monroe St,40.71117444,-73.99682619,12
142,Center Blvd & Borden Ave,40.74161,-73.96044,6
143,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,25
144,Central Park S & 6 Ave,40.76590936,-73.97634151,89
145,Central Park W & W 96 St,40.79127,-73.964839,24
146,Central Park West & W 100 St,40.793393,-73.9635556,4
147,Central Park West & W 102 St,40.795346,-73.96186,45
148,Central Park West & W 68 St,40.7734066,-73.97782542,46
149,Central Park West & W 72 St,40.77579377,-73.97620574,53
150,Central Park West & W 76 St,40.77896784,-73.97374737,20
151,Central Park West & W 85 St,40.78472675,-73.96961715,40
152,Centre St & Chambers St,40.71273266,-74.0046073,157
153,Centre St & Worth St,40.71494807,-74.00234482,42
154,Cherry St,40.71219906,-73.97948148,25
